Fish Species,Cover,Area,Weight in LBS,Depth,ID,,,
Largemouth,Boat Docks,Lower Section Main Lake,2.125,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,3.625,46152,Day1,,,
Largemouth,Boat Docks,Lower Section Main Lake,3.5,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.625,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,3.6875,0-5,Day1,,,
Largemouth,Rip Rap,Bays/Pockets,2.0625,46152,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.0625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,4.375,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.125,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.6875,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.25,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2,0-5,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.6875,46152,Day1,,,
Spotted,Natural Rock,Creeks,2.375,0-5,Day1,,,
Largemouth,Natural Rock,River,6,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.75,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,3.6875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.8125,0-5,Day1,,,
Largemouth,Rip Rap,Creeks,2.625,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,3.875,0-5,Day1,,,
Largemouth,Lay Downs,Bays/Pockets,2.625,0-5,Day1,,,
Spotted,Boat Docks,Creeks,3,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,2.5625,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,4.625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.125,46152,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,3.8125,0-5,Day1,,,
Largemouth,Marinas,Mid Section Main Lake,2.0625,0-5,Day1,,,
Spotted,Boat Docks,Creeks,2.3125,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,4.9375,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,6.25,15-20,Day1,,,
Largemouth,Natural Rock,Creeks,2.25,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.25,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.625,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,3.5,46152,Day1,,,
Spotted,Boat Docks,Creeks,2,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,3.5625,0-5,Day1,,,
Largemouth,Natural Rock,River,2.5,0-5,Day1,,,
Largemouth,Natural Rock,Lower Section Main Lake,2.5625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.3125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.25,0-5,Day1,,,
Largemouth,Lay Downs,Mid Section Main Lake,2.25,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2.75,46152,Day1,,,
Spotted,Boat Docks,Lower Section Main Lake,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,2.5625,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,2.125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.6875,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.8125,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.5625,0-5,Day1,,,
